DateTime,Original Tweet,Processed Tweet
2016-12-02 17:19:53+00:00,"Trump's Treasury Secretary made money by preying on vulnerable home buyers, including this Trump voter: http://apne.ws/2gOgdsE","['trumps', 'treasury', 'secretary', 'make', 'money', 'prey', 'vulnerable', 'home', 'buyer', 'include', 'trump', 'voter']"
2016-12-02 16:18:04+00:00,Bad news for voters who thought Trump would stand up to Wall Street:,"['bad', 'news', 'voter', 'think', 'trump', 'would', 'stand', 'wall', 'street']"
2016-12-02 15:11:29+00:00,"RT if you’re saying “Thanks, Obama” for saving the U.S. economy.","['’', 'say', '“', 'thanks', 'obama', '”', 'save', 'us', 'economy']"
2016-12-02 01:32:51+00:00,Make sure your friends know that you're standing with Democrats: http://store.democrats.org,"['make', 'sure', 'friend', 'know', 'youre', 'stand', 'democrats']"
2016-12-02 00:34:11+00:00,"2 months ago Donald Trump said Wall Street executives wanted to ""take your jobs"" and ""take your money."" Now, they're filling his cabinet.","['month', 'ago', 'donald', 'trump', 'say', 'wall', 'street', 'executive', 'want', 'take', 'job', 'take', 'money', 'theyre', 'fill', 'cabinet']"
2016-12-01 23:28:35+00:00,"Jeff Sessions, Trump's pick for Attorney General, slammed a law protecting schoolchildren with disabilities:","['jeff', 'sessions', 'trumps', 'pick', 'attorney', 'general', 'slam', 'law', 'protect', 'schoolchildren', 'disability']"
2016-12-01 22:26:31+00:00,"Remember that time Donald Trump promised to ""drain the swamp"" in Washington? He lied.","['remember', 'time', 'donald', 'trump', 'promise', 'drain', 'swamp', 'washington', 'lie']"
2016-12-01 21:34:37+00:00,Trump's business is not too big to sell. Here's what he could (but probably won't) do to avoid conflict of interest:,"['trumps', 'business', 'big', 'sell', 'heres', 'could', 'probably', 'wont', 'avoid', 'conflict', 'interest']"
2016-12-01 20:31:30+00:00,Your daily reminder that Donald Trump nominated an HHS Secretary who would repeal the law that helps millions of Americans gain health care.,"['daily', 'reminder', 'donald', 'trump', 'nominate', 'hhs', 'secretary', 'would', 'repeal', 'law', 'help', 'million', 'americans', 'gain', 'health', 'care']"
2016-12-01 19:14:38+00:00,"The horrible impact Donald Trump is having on schools is ""nothing short of a crisis and should be treated as such."" http://huff.to/2fVLzw7","['horrible', 'impact', 'donald', 'trump', 'school', 'nothing', 'short', 'crisis', 'treat']"
2016-12-01 17:32:22+00:00,RT if you won't stand for an administration run by people who pulled the rug out from under middle-class Americans: http://bit.ly/2gcv4tc,"['wont', 'stand', 'administration', 'run', 'people', 'pull', 'rug', 'middleclass', 'americans']"
2016-12-01 16:27:53+00:00,Donald Trump is assembling the richest administration in modern American history. He doesn't represent you:,"['donald', 'trump', 'assemble', 'rich', 'administration', 'modern', 'american', 'history', 'doesnt', 'represent']"
2016-12-01 02:02:08+00:00,Elaine Chao: Yet another Washington insider being promoted by Trump.,"['elaine', 'chao', 'yet', 'another', 'washington', 'insider', 'promote', 'trump']"
2016-12-01 00:41:06+00:00,"Another day, another billionaire who doesn't care about working Americans named to Trump's cabinet.","['another', 'day', 'another', 'billionaire', 'doesnt', 'care', 'work', 'americans', 'name', 'trumps', 'cabinet']"
2016-11-30 23:11:56+00:00,Trump's Treasury Secretary's bank is accused of discriminating against black and Latino families seeking mortgages:,"['trumps', 'treasury', 'secretarys', 'bank', 'aused', 'discriminate', 'black', 'latino', 'family', 'seek', 'mortgage']"
2016-11-30 21:29:01+00:00,RT if the Trump Administration doesn't represent you. http://politi.co/2gFXQ93,"['trump', 'administration', 'doesnt', 'represent']"
2016-11-30 20:12:36+00:00,"Tom Price is ""a man intent on systematically weakening, if not demolishing, the nation’s health care safety net.""","['tom', 'price', 'man', 'intent', 'systematically', 'weaken', 'demolish', 'nation', '’', 'health', 'care', 'safety', 'net']"
2016-11-30 18:44:45+00:00,"Trump promised to ""drain the swamp"" in DC, but instead he's filling it with Wall Street billionaires.","['trump', 'promise', 'drain', 'swamp', 'dc', 'instead', 'fill', 'wall', 'street', 'billionaire']"
2016-11-30 16:49:17+00:00,"Even if he's not steering his businesses, Trump knows exactly where his interests lie, and that's still dangerous:","['even', 'steer', 'business', 'trump', 'know', 'exactly', 'interest', 'lie', 'thats', 'still', 'dangerous']"
2016-11-30 15:39:39+00:00,"Donald Trump, ""man of the people,"" continues to pick Wall Street billionaires for his cabinet:","['donald', 'trump', 'man', 'people', 'continue', 'pick', 'wall', 'street', 'billionaire', 'cabinet']"
2016-11-30 00:10:21+00:00,This is so backwards. http://bit.ly/2fHXjPo,['backwards']
2016-11-29 22:28:39+00:00,"Thanks, Obama. http://cnnmon.ie/2gGpMay","['thanks', 'obama']"
2016-11-29 21:14:25+00:00,RT if you're going to stand up for Obamacare.,"['youre', 'go', 'stand', 'obamacare']"
2016-11-29 20:03:46+00:00,"He settled his Trump University fraud suit for $25 million, but what will he do about all of these other open cases?","['settle', 'trump', 'university', 'fraud', 'suit', 'million', 'open', 'case']"
2016-11-29 18:45:15+00:00,"http://Dictionary.com's word of the year is ""xenophobia."" http://cnn.it/2fHSSUU","['word', 'year', 'xenophobia']"
2016-11-29 16:16:22+00:00,Would you want to shut down the government because millions of Americans gained access to health care? Tom Price did.,"['would', 'want', 'shut', 'government', 'million', 'americans', 'gain', 'aess', 'health', 'care', 'tom', 'price']"
2016-11-29 15:35:21+00:00,Trump's popular vote lies are Regurgitated alt-right conspiracy theories Threats to our democracy,"['trumps', 'popular', 'vote', 'lie', 'regurgitated', 'altright', 'conspiracy', 'theory', 'threats', 'democracy']"
2016-11-29 01:48:14+00:00,"""You have to start with that hope...inside you, because if you don’t feel that way, then you don’t bother to try to have an impact.” -POTUS","['start', 'hopeinside', '’', 'feel', 'way', '’', 'bother', 'try', 'impact', '”', 'potus']"
2016-11-28 22:15:16+00:00,Cyber Monday deals for every Democrat on your list — use code CYBER2016 for 15% off your order at http://store.democrats.org.,"['cyber', 'monday', 'deal', 'every', 'democrat', 'list', '—', 'use', 'code', 'cyber', 'order']"
2016-11-28 20:18:22+00:00,"Donald Trump lost the popular vote, and (surprise!) he's lying about it: http://nyti.ms/2gyqTLC","['donald', 'trump', 'lose', 'popular', 'vote', 'surprise', 'lie']"
2016-11-28 18:39:02+00:00,This is not normal:,['normal']
2016-11-28 16:33:21+00:00,"If you think Donald Trump will put Americans' interests first as president, we've got some bad news for you... http://wapo.st/2go03Tz","['think', 'donald', 'trump', 'put', 'americans', 'interest', 'first', 'president', 'weve', 'get', 'bad', 'news']"
2016-11-27 23:20:16+00:00,Say you're in to continue this progress: http://bit.ly/2fx0CsF,"['say', 'youre', 'continue', 'progress']"
2016-11-27 20:03:25+00:00,"RT to remind everyone that Trump has chosen Steve Bannon—who ran this hateful, alt-right website—to run his White House.","['remind', 'everyone', 'trump', 'choose', 'steve', 'bannon', '—', 'run', 'hateful', 'altright', 'website', '—', 'run', 'white', 'house']"
2016-11-27 18:00:02+00:00,Have a super Sunday.,"['super', 'sunday']"
2016-11-27 15:08:40+00:00,"""You have either no experience or the wrong kind of experience.""","['either', 'experience', 'wrong', 'kind', 'experience']"
2016-11-27 00:47:44+00:00,"If President Obama's past 8 years of progress have you feeling like this, say you're here to keep fighting for it: http://bit.ly/2fNH2t8","['president', 'obamas', 'past', 'year', 'progress', 'feel', 'like', 'say', 'youre', 'keep', 'fight']"
2016-11-26 22:37:28+00:00,"When they go low, we go high.","['go', 'low', 'go', 'high']"
2016-11-26 20:19:19+00:00,Tell everyone — you're going to keep fighting: http://bit.ly/2gpVtUn,"['tell', 'everyone', '—', 'youre', 'go', 'keep', 'fighting']"
2016-11-26 17:41:38+00:00,$5.1 billion $15.3 billion $2.9 billion $250 million $46 million ↑↑ Approx. net values of some of Trump's cabinet:,"['billion', 'billion', 'billion', 'million', 'million', '↑', '↑', 'approx', 'net', 'value', 'trumps', 'cabinet']"
2016-11-26 15:34:59+00:00,"""The results of this election show that our voices are needed now, more than ever."" -DNC Interim Chair @donnabrazile","['result', 'election', 'show', 'voice', 'need', 'ever', 'dnc', 'interim', 'chair']"
2016-11-25 20:54:35+00:00,Donald Trump's businesses present so many conflicts of interest it's like... https://medium.com/to-the-left/trump-vs-the-american-people-f5d8cb792f91#.x7i60zuyl,"['donald', 'trumps', 'business', 'present', 'many', 'conflict', 'interest', 'like']"
