DateTime,Original Tweet,Processed Tweet
2016-11-23 22:07:03+00:00, http://gop.cm/4TCDCn,[]
2016-11-23 20:21:01+00:00,Obama's Post-Election Glow Doesn't Shine On Democrats,"['obamas', 'postelection', 'glow', 'doesnt', 'shine', 'democrats']"
2016-11-23 18:49:01+00:00,.@realDonaldTrump appoints @BetsyDeVos to education secretary post,"['appoints', 'education', 'secretary', 'post']"
2016-11-23 17:59:06+00:00,.@realDonaldTrump Taps SC Gov @nikkihaley To Be Ambassador To UN http://apne.ws/2g3OXD8,"['taps', 'sc', 'gov', 'ambassador', 'un']"
2016-11-22 23:32:03+00:00,"""It's time to break with the corruption...""","['time', 'break', 'corruption']"
2016-11-22 21:02:03+00:00, http://gop.cm/4TCDCn,[]
2016-11-22 19:27:01+00:00,"""The Democrats’ chances of taking over the House any time soon? Hard to imagine.""","['democrats', '’', 'chance', 'take', 'house', 'time', 'soon', 'hard', 'imagine']"
2016-11-22 17:21:12+00:00,".@realdonaldtrump Calls for List of Day-One Executive Actions, Outlines First 100 Days","['calls', 'list', 'dayone', 'executive', 'actions', 'outlines', 'first', 'days']"
2016-11-22 15:34:04+00:00,Together http://gop.cm/4TCDCn,['together']
2016-11-21 23:31:03+00:00, ,[]
2016-11-21 20:33:06+00:00,"Even Democrats think their ""house is burning down.""","['even', 'democrats', 'think', 'house', 'burn']"
2016-11-21 18:22:03+00:00,Together as ONE: http://gop.cm/4TCDCn,"['together', 'one']"
2016-11-20 16:13:03+00:00,"Congratulate Pres-elect @realDonaldTrump, VP-elect @mike_pence, and the rest of the GOP on this historic night http://gop.cm/LarR3u","['congratulate', 'preselect', 'vpelect', 'rest', 'gop', 'historic', 'night']"
2016-11-19 14:28:03+00:00,"#OnThisDay in 1863, President Abraham Lincoln delivered the Gettysburg Address","['onthisday', 'president', 'abraham', 'lincoln', 'deliver', 'gettysburg', 'address']"
2016-11-18 23:43:02+00:00,The #LeadRight2016 Ground Game http://gop.cm/n9W7wT,"['leadright', 'ground', 'game']"
2016-11-18 20:56:02+00:00,"""...a traveler could drive 3,600 miles across the continent... without ever leaving a state under total GOP control"" http://on.wsj.com/2g6jh0N","['traveler', 'could', 'drive', 'mile', 'across', 'continent', 'without', 'ever', 'leave', 'state', 'total', 'gop', 'control']"
2016-11-18 18:53:03+00:00,This is just the beginning as we continue to strengthen our outreach & communicate our values to the American people http://gop.cm/hF6KDe,"['beginning', 'continue', 'strengthen', 'outreach', 'communicate', 'value', 'american', 'people']"
2016-11-18 16:29:12+00:00,Last week we learned that America is still a beacon of hope where the impossible is possible http://gop.com/we-did-it,"['last', 'week', 'learn', 'america', 'still', 'beacon', 'hope', 'impossible', 'possible']"
2016-11-17 21:41:02+00:00,#LeadRight2016 http://gop.cm/hF6KDe,['leadright']
2016-11-17 19:17:44+00:00,#tbt http://gop.com/congratulations,['tbt']
2016-11-17 16:36:48+00:00,We are http://gop.cm/dKxe5n,[]
2016-11-16 21:23:03+00:00,Our country now sits on the brink of a bright new future thanks to the incredible efforts of #LeadRight2016 &amp; others http://gop.cm/hF6KDe,"['country', 'sit', 'brink', 'bright', 'new', 'future', 'thanks', 'incredible', 'effort', 'leadright', 'amp', 'others']"
